FUND TYPE	FUND CODE	DEPARTMENT CODE	ORGANIZATION CODE	DIVISION CODE	SECTION CODE	SUBSECTION CODE	SCHEDULE	TITLE CODE	TITLE DESCRIPTION	FUND NAME	DEPARTMENT	DEPARTMENT NAME	DIVISION NAME	SECTION NAME	SUBSECTION NAME	BUDGETED UNIT	TOTAL BUDGETED UNITS	POSITION CONTROL	BUDGETED PAY RATE	TOTAL BUDGETED AMOUNT
Local	100	70	1005	2005	3027	0	3	313	Assistant Commissioner	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	General Counsel and Special Prosections		Annual	1	1	75972	75972
Local	100	70	1005	2005	3027	0	3	313	Assistant Commissioner	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	General Counsel and Special Prosections		Annual	1	1	81456	81456
Local	100	70	1005	2005	3027	0	BX	729	Information Coordinator	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	General Counsel and Special Prosections		Annual	1	1	88812	88812
Local	100	70	1005	2005	3027	0	B	2491	Consumer Investigator II	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	General Counsel and Special Prosections		Annual	1	1	55308	55308
Local	100	70	1005	2005	3027	0	B	2491	Consumer Investigator II	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	General Counsel and Special Prosections		Annual	1	1	70464	70464
Local	100	70	1005	2005	3027	0	1	9679	Deputy Commissioner	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	General Counsel and Special Prosections		Annual	1	1	109860	109860
Local	100	70	1005	2005	3027	0	1	9844	Senior Hearing Officer	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	General Counsel and Special Prosections		Annual	1	1	68136	68136
Local	100	70	1005	2005	3041	0	B	2491	Consumer Investigator II	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	Cable		Annual	1	1	77292	77292
Local	100	70	1005	2005	3041	0	1	9679	Deputy Commissioner	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	Cable		Annual	1	1	105828	105828
Local	100	70	1005	2005	3041	0	1	9845	Cable Commissioner	CORPORATE FUND	BUS AFFAIRS AND CONSUMER PROT	BUSINESS AFFAIRS AND CONSUMER PROTECTION	Department of Business Affairs and Consumer Protection	Cable		Annual	0	0	20000	0
Local	100	72	1005	2005	3006	"4,031"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Commissioner's Office	Operations	Annual	0	0	1296	1296
Local	100	72	1005	2005	3006	"4,031"	BX	320	Assistant to the Commissioner	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Commissioner's Office	Operations	Annual	1	1	54492	54492
Local	100	72	1005	2005	3006	"4,031"	BX	810	Executive Secretary II	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Commissioner's Office	Operations	Annual	1	1	63276	63276
Local	100	72	1005	2005	3006	"4,031"	1	9660	First Deputy Commissioner	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Commissioner's Office	Operations	Annual	1	1	110364	110364
Local	100	72	1005	2005	3006	"4,031"	1	9972	Commissioner of Environment	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Commissioner's Office	Operations	Annual	1	1	129312	129312
Local	100	72	1005	2005	3006	"4,032"	3	313	Assistant Commissioner	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Commissioner's Office	Government Relations & Policy	Annual	1	1	72852	72852
Local	100	72	1005	2005	3027	"4,072"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Urban Management-Brownsfield	Project Management	Annual	0	0	3636	3636
Local	100	72	1005	2005	3027	"4,072"	G	2073	Environmental Engineer III	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Urban Management-Brownsfield	Project Management	Annual	1	1	91260	91260
Local	100	72	1005	2005	3027	"4,072"	G	2073	Environmental Engineer III	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Urban Management-Brownsfield	Project Management	Annual	1	1	96276	96276
Local	100	72	1005	2005	3027	"4,072"	1	9679	Deputy Commissioner	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Urban Management-Brownsfield	Project Management	Annual	1	1	99108	99108
Local	100	72	1005	2005	3036	"4,036"	3	313	Assistant Commissioner	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Natural Resource-Water Quality	Natural Resources/Operations	Annual	1	1	80100	80100
Local	100	72	1005	2005	3036	"4,036"	1	9679	Deputy Commissioner	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Natural Resource-Water Quality	Natural Resources/Operations	Annual	1	1	93912	93912
Local	100	72	1005	2005	3036	"4,038"	BX	1912	Project Coordinator	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Natural Resource-Water Quality	Conservation	Annual	1	1	70380	70380
Local	100	72	1005	2005	3036	"4,038"	BX	3092	Program Director	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Natural Resource-Water Quality	Conservation	Annual	1	1	80916	80916
Local	100	72	1005	2005	3045	"4,008"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Administration	Administration	Annual	0	0	496	496
Local	100	72	1005	2005	3045	"4,008"	GY	124	Finance Officer	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Administration	Administration	Annual	1	1	80256	80256
Local	100	72	1005	2005	3045	"4,008"	B	429	Clerk II	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Administration	Administration	Annual	1	1	31680	31680
Local	100	72	1005	2005	3045	"4,008"	BX	1304	Supervisor of Personnel Services	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Administration	Administration	Annual	1	1	97416	97416
Local	100	72	1005	2005	3045	"4,008"	BX	1912	Project Coordinator	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Administration	Administration	Annual	1	1	80916	80916
Local	100	72	1005	2005	3045	"4,009"	G	635	Senior Programmer/Analyst	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Administration	Communication/Marketing	Annual	1	1	96276	96276
Local	100	72	1005	2005	3091	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	0	0	5772	5772
Local	100	72	1005	2005	3091	0	3	1646	Attorney	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	82524	82524
Local	100	72	1005	2005	3091	0	G	2073	Environmental Engineer III	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	2	1	96276	192552
Local	100	72	1005	2005	3091	0	G	2074	Environmental Engineer I	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	80808	80808
Local	100	72	1005	2005	3091	0	B	2077	Senior Environmental Inspector	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	52824	52824
Local	100	72	1005	2005	3091	0	B	2077	Senior Environmental Inspector	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	60708	60708
Local	100	72	1005	2005	3091	0	B	2077	Senior Environmental Inspector	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	67296	67296
Local	100	72	1005	2005	3091	0	B	2077	Senior Environmental Inspector	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	69720	69720
Local	100	72	1005	2005	3091	0	BX	2080	Supervising Environmental Inspector	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	67224	67224
Local	100	72	1005	2005	3091	0	BX	2080	Supervising Environmental Inspector	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	73752	73752
Local	100	72	1005	2005	3091	0	BX	2080	Supervising Environmental Inspector	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	80916	80916
Local	100	72	1005	2005	3091	0	BX	2080	Supervising Environmental Inspector	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	84780	84780
Local	100	72	1005	2005	3091	0	G	2081	Environmental Engineer II	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	88140	88140
Local	100	72	1005	2005	3091	0	BX	2082	Director of Environmental Inspections	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	88812	88812
Local	100	72	1005	2005	3091	0	B	2083	Environmental Investigator	CORPORATE FUND	DOE	DEPARTMENT OF ENVIRONMENT	Department of Environment	Permitting and Enforcement		Annual	1	1	88872	88872
Local	100	73	1005	2005	3003	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Administration		Annual	0	0	3266	3266
Local	100	73	1005	2005	3003	0	B	303	Administrative Assistant III	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Administration		Annual	1	1	67296	67296
Local	100	73	1005	2005	3003	0	BX	305	Assistant to the Director	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Administration		Annual	1	1	54492	54492
Local	100	73	1005	2005	3003	0	BX	308	Staff Assistant	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Administration		Annual	1	1	64152	64152
Local	100	73	1005	2005	3003	0	BX	1302	Administrative Services Officer II	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Administration		Annual	1	1	77280	77280
Local	100	73	1005	2005	3003	0	BX	3493	Operations Manager of Animal Control	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Administration		Annual	1	1	76512	76512
Local	100	73	1005	2005	3003	0	1	9684	Deputy Director	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Administration		Annual	1	1	80904	80904
Local	100	73	1005	2005	3003	0	1	9973	Executive Director of Animal Care	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Administration		Annual	1	1	134124	134124
Local	100	73	1005	2005	3005	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	0	0	1523	1523
Local	100	73	1005	2005	3005	0	BX	3495	Supervisor of Animal Control Officers	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	2	1	59796	119592
Local	100	73	1005	2005	3005	0	BX	3495	Supervisor of Animal Control Officers	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	1	1	80916	80916
Local	100	73	1005	2005	3005	0	I	3496	Animal Control Officer	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	2	1	38748	77496
Local	100	73	1005	2005	3005	0	I	3496	Animal Control Officer	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	3	1	44568	133704
Local	100	73	1005	2005	3005	0	I	3496	Animal Control Officer	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	2	1	46656	93312
Local	100	73	1005	2005	3005	0	I	3496	Animal Control Officer	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	3	1	48924	146772
Local	100	73	1005	2005	3005	0	I	3496	Animal Control Officer	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	4	1	51216	204864
Local	100	73	1005	2005	3005	0	I	3496	Animal Control Officer	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	5	1	53628	268140
Local	100	73	1005	2005	3005	0	I	3496	Animal Control Officer	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	2	1	58860	117720
Local	100	73	1005	2005	3005	0	I	3496	Animal Control Officer	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	1	1	61692	61692
Local	100	73	1005	2005	3005	0	I	3496	Animal Control Officer	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	5	1	64596	322980
Local	100	73	1005	2005	3005	0	B	7102	Dispatch Clerk	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	1	1	48108	48108
Local	100	73	1005	2005	3005	0	B	7102	Dispatch Clerk	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	1	1	64248	64248
Local	100	73	1005	2005	3005	0	1	9632	Chairman	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	1	0	0	0
Local	100	73	1005	2005	3005	0	1	9633	Member	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Control		Annual	8	0	0	0
Local	100	73	1005	2005	3010	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	0	0	12070	12070
Local	100	73	1005	2005	3010	0	G	3309	Veterinarian - Hourly	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Hourly	340	0	46	15616
Local	100	73	1005	2005	3010	0	G	3310	Veterinarian	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	83604	83604
Local	100	73	1005	2005	3010	0	G	3310	Veterinarian	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	112056	112056
Local	100	73	1005	2005	3010	0	3	3313	Supervising Veterinarian	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	100692	100692
Local	100	73	1005	2005	3010	0	BX	3485	Animal Shelter Manager	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	69684	69684
Local	100	73	1005	2005	3010	0	B	3487	Supervisor of Animal Care Aides	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	2	1	52824	105648
Local	100	73	1005	2005	3010	0	B	3487	Supervisor of Animal Care Aides	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	67296	67296
Local	100	73	1005	2005	3010	0	B	3492	Veterinarian Assistant	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	3	1	52824	158472
Local	100	73	1005	2005	3010	0	B	3497	Animal Care Aide II	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	48108	48108
Local	100	73	1005	2005	3010	0	B	3497	Animal Care Aide II	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	50952	50952
Local	100	73	1005	2005	3010	0	B	3497	Animal Care Aide II	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	53340	53340
Local	100	73	1005	2005	3010	0	B	3498	Animal Care Clerk	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	43836	43836
Local	100	73	1005	2005	3010	0	B	3499	Animal Care Aide I	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	3	1	36432	109296
Local	100	73	1005	2005	3010	0	B	3499	Animal Care Aide I	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	2	1	41856	83712
Local	100	73	1005	2005	3010	0	B	3499	Animal Care Aide I	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	2	1	46428	92856
Local	100	73	1005	2005	3010	0	B	3499	Animal Care Aide I	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	2	1	48576	97152
Local	100	73	1005	2005	3010	0	B	3499	Animal Care Aide I	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	2	1	50952	101904
Local	100	73	1005	2005	3010	0	B	3499	Animal Care Aide I	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	2	1	55872	111744
Local	100	73	1005	2005	3010	0	B	3499	Animal Care Aide I	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Animal Care		Annual	1	1	58548	58548
Local	100	73	1005	2005	3015	0	I	3491	Animal Control Inspector	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Anti-Cruelty		Annual	1	1	53628	53628
Local	100	73	1005	2005	3015	0	I	3491	Animal Control Inspector	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Anti-Cruelty		Annual	1	1	56208	56208
Local	100	73	1005	2005	3015	0	I	3491	Animal Control Inspector	CORPORATE FUND	ACC	COMM ANIMAL CARE AND CONTROL	Commission on Animal Care and Control	Anti-Cruelty		Annual	1	1	70884	70884
Local	100	77	1005	2005	3005	0	BX	308	Staff Assistant	CORPORATE FUND	LAC	LICENSE APPEAL COMMISSION	License Appeal Commission	Liquor License Revocation Appeals		Annual	1	1	63276	63276
Local	100	78	1005	2005	3005	0	1	15	Schedule Salary Adjustments	CORPORATE FUND	BOE	BOARD OF ETHICS	Board of Ethics	Administration		Annual	0	0	1892	1892
Local	100	78	1005	2005	3005	0	BX	305	Assistant to the Director	CORPORATE FUND	BOE	BOARD OF ETHICS	Board of Ethics	Administration		Annual	1	1	63516	63516
Local	100	78	1005	2005	3005	0	BX	308	Staff Assistant	CORPORATE FUND	BOE	BOARD OF ETHICS	Board of Ethics	Administration		Annual	1	1	73752	73752
Local	100	78	1005	2005	3005	0	BX	309	Coordinator of Special Projects	CORPORATE FUND	BOE	BOARD OF ETHICS	Board of Ethics	Administration		Annual	1	1	69684	69684
Local	100	78	1005	2005	3005	0	BX	1659	Legal Counsel - Board of Ethics	CORPORATE FUND	BOE	BOARD OF ETHICS	Board of Ethics	Administration		Annual	1	1	84780	84780
Local	100	78	1005	2005	3005	0	BX	3092	Program Director	CORPORATE FUND	BOE	BOARD OF ETHICS	Board of Ethics	Administration		Annual	1	1	73020	73020
Local	100	78	1005	2005	3005	0	3	9718	Investigator - Ethics	CORPORATE FUND	BOE	BOARD OF ETHICS	Board of Ethics	Administration		Annual	1	1	72516	72516
Local	100	78	1005	2005	3005	0	1	9978	Executive Director	CORPORATE FUND	BOE	BOARD OF ETHICS	Board of Ethics	Administration		Annual	1	1	125532	125532
Local	100	81	1005	2005	3004	"4,000"	3	311	Projects Administrator	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Office of the Commissioner	Annual	1	1	99696	99696
Local	100	81	1005	2005	3004	"4,000"	BX	318	Assistant to the Commissioner	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Office of the Commissioner	Annual	1	1	70380	70380
Local	100	81	1005	2005	3004	"4,000"	3	2976	Executive Assistant	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Office of the Commissioner	Annual	1	1	70380	70380
Local	100	81	1005	2005	3004	"4,000"	1	9660	First Deputy Commissioner	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Office of the Commissioner	Annual	1	1	126432	126432
Local	100	81	1005	2005	3004	"4,000"	1	9813	Managing Deputy Commissioner	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Office of the Commissioner	Annual	1	1	142464	142464
Local	100	81	1005	2005	3004	"4,000"	1	9981	Commissioner of Streets and Sanitation	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Office of the Commissioner	Annual	1	1	157092	157092
Local	100	81	1005	2005	3004	"4,002"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Administrative Support	Annual	0	0	2872	2872
Local	100	81	1005	2005	3004	"4,002"	B	303	Administrative Assistant III	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Administrative Support	Annual	1	1	73848	73848
Local	100	81	1005	2005	3004	"4,002"	BX	308	Staff Assistant	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Administrative Support	Annual	1	1	70380	70380
Local	100	81	1005	2005	3004	"4,002"	BX	323	Administrative Assistant III - Excluded	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Administrative Support	Annual	1	1	52536	52536
Local	100	81	1005	2005	3004	"4,002"	BX	323	Administrative Assistant III - Excluded	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Administrative Support	Annual	1	1	62196	62196
Local	100	81	1005	2005	3004	"4,002"	3	705	Director Public Affairs	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Commissioner's Office	Departmental Administration	Administrative Support	Annual	1	1	116652	116652
Local	100	81	1005	2006	3009	"4,011"	BX	323	Administrative Assistant III - Excluded	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Legal Services	Annual	1	1	55044	55044
Local	100	81	1005	2006	3009	"4,013"	1	15	Schedule Salary Adjustments	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Annual	0	0	219	219
Local	100	81	1005	2006	3009	"4,013"	BX	320	Assistant to the Commissioner	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Annual	1	1	62640	62640
Local	100	81	1005	2006	3009	"4,013"	BX	320	Assistant to the Commissioner	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Annual	1	1	67224	67224
Local	100	81	1005	2006	3009	"4,013"	BX	381	Director of Administration II	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Annual	1	1	97416	97416
Local	100	81	1005	2006	3009	"4,013"	B	1342	Senior Personnel Assistant	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Annual	1	1	73848	73848
Local	100	81	1005	2006	3009	"4,013"	3	6324	Sanitation Laborer	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Hourly	"110,160"	0	32	3489869
Local	100	81	1005	2006	3009	"4,013"	2	7183	Motor Truck Driver	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Hourly	"20,400"	0	34	690540
Local	100	81	1005	2006	3009	"4,013"	2	7633	Hoisting Engineer	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Hourly	"8,160"	0	44	357408
Local	100	81	1005	2006	3009	"4,013"	3	7975	Tree Trimmer	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Hourly	"10,200"	0	33	332520
Local	100	81	1005	2006	3009	"4,013"	2	9528	Laborer - BOE	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Administrative/Personnel Services	Hourly	"2,040"	0	35	71808
Local	100	81	1005	2006	3009	"4,014"	V	175	Field Payroll Auditor	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Payroll Services	Annual	2	1	73848	147696
Local	100	81	1005	2006	3009	"4,014"	BX	309	Coordinator of Special Projects	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Payroll Services	Annual	1	1	88812	88812
Local	100	81	1005	2006	3009	"4,014"	3	313	Assistant Commissioner	CORPORATE FUND	DEPT STREETS AND SANITATION	DEPT STREETS AND SANITATION	Administrative Services Division	Personnel/Payroll/Legal	Payroll Services	Annual	1	1	103740	103740
